Municipio,ÓbtP/Ocor,Saneat,PibPerCapita,PrpBxRnd,RndMdDom,TxAnalf,PopEst
ACEGUA,0,4355,10,77,629,6,4235
AGUA SANTA,1,3705,62,26,1131,6,3970
AGUDO,1,16546,10,23,856,7,16399
AJURICABA,0,7209,28,42,924,5,6882
ALECRIM,1,7022,22,78,551,6,6294
ALEGRETE,12,76987,3,47,699,5,74795
ALEGRIA,0,4287,67,6,689,10,3743
ALMIRANTE TAMANDARE DO SUL,0,2062,47,73,757,4,1989
ALPESTRE,1,8011,36,55,623,11,7311
ALTO ALEGRE,0,1839,0,3,851,9,1816
ALTO FELIZ,0,2911,66,87,787,1,3101
ALVORADA,53,194909,61,26,587,3,195035
AMARAL FERRADOR,0,6285,17,27,489,12,5455
AMETISTA DO SUL,1,7299,81,19,603,10,7792
ANDRE DA ROCHA,0,1216,53,75,790,6,1129
ANTA GORDA,1,6030,85,64,808,5,6072
ANTONIO PRADO,1,12800,64,19,1003,4,13319
ARAMBARE,0,3673,37,60,589,8,4176
ARARICA,0,4858,29,88,597,5,8487
ARATIBA,0,6540,71,42,1150,4,6627
ARROIO DO MEIO,2,18655,16,21,848,1,22217
ARROIO DO PADRE,0,2719,9,93,700,6,2638
ARROIO DO SAL,4,7688,26,18,792,4,11115
ARROIO DO TIGRE,1,12619,21,31,652,6,12356
ARROIO DOS RATOS,1,13599,51,2,604,6,14856
ARROIO GRANDE,1,18395,78,59,520,7,17955
ARVOREZINHA,2,10167,51,32,669,8,10540
AUGUSTO PESTANA,0,7071,24,78,1009,3,7304
AUREA,0,3647,19,86,654,4,3460
BAGE,14,116116,81,83,780,5,121898
BALNEARIO PINHAL,7,10815,49,56,620,5,15056
BARAO,0,5734,73,33,945,3,6425
BARAO DE COTEGIPE,1,6511,84,53,817,3,7262
BARAO DO TRIUNFO,0,6993,23,39,427,9,6047
BARRA DO GUARITA,1,3073,61,69,593,10,3192
BARRA DO QUARAI,0,3967,37,71,338,8,4295
BARRA DO RIBEIRO,2,12489,89,99,559,7,12510
BARRA DO RIO AZUL,0,1999,4,16,624,9,1715
BARRA FUNDA,0,2354,72,63,755,5,2519
BARRACAO,1,5339,11,69,640,8,4950
BARROS CASSAL,1,10990,47,22,585,13,9568
BENJAMIN CONSTANT DO SUL,0,2299,55,97,335,16,2096
BENTO GONCALVES,35,106632,93,65,1183,2,126114
BOA VISTA DAS MISSOES,0,2111,61,64,476,7,1952
BOA VISTA DO BURICA,0,6480,45,56,909,1,7098
BOA VISTA DO CADEADO,0,2438,76,12,588,5,2258
BOA VISTA DO INCRA,0,2400,39,70,596,5,2297
BOA VISTA DO SUL,0,2772,17,66,963,8,2792
BOM JESUS,1,11474,26,7,592,7,11421
BOM PRINCIPIO,1,11753,4,88,851,1,13543
BOM PROGRESSO,2,2328,99,13,604,9,2114
BOM RETIRO DO SUL,1,11408,84,92,726,3,12511
BOQUEIRAO DO LEAO,0,7628,24,26,726,11,6290
BOSSOROCA,1,6871,57,48,470,7,6037
BOZANO,0,2197,55,10,975,3,2176
BRAGA,0,3670,35,94,471,13,3325
BROCHIER,0,4641,72,10,719,2,5047
BUTIA,11,20364,56,65,558,9,19557
CACAPAVA DO SUL,3,33502,50,28,612,8,33623
